frame,x,y,z
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,-0.33315,0.046524,0.040196
3,-0.32014,0.039968,0.04305
4,-0.30704,0.036499,0.045963
5,-0.29166,0.037418,0.049887
6,-0.27713,0.033243,0.052036
7,-0.26315,0.033434,0.054789
8,-0.24748,0.03162,0.057286
9,-0.23267,0.031555,0.059831
10,-0.21921,0.029154,0.061659
11,-0.20382,0.0278,0.062531
12,-0.18975,0.023964,0.063498
13,-0.17317,0.02555,0.06412
14,-0.15895,0.025097,0.064394
15,-0.14444,0.02485,0.06417
16,-0.12937,0.024691,0.063732
17,-0.11458,0.024243,0.06353
18,-0.10083,0.021591,0.062621
19,-0.085018,0.024214,0.06167
20,-0.070955,0.024,0.059481
21,-0.055891,0.024532,0.057845
22,-0.042099,0.027594,0.055322
23,-0.028327,0.025109,0.053232
24,-0.014652,0.027469,0.05087
25,-0.0019348,0.024937,0.048831
26,0.013177,0.028032,0.044504
27,0.02734,0.031705,0.040774
28,0.041583,0.035691,0.036505
29,0.054149,0.037174,0.032432
30,0.067327,0.037514,0.028232
31,0.08081,0.040417,0.023833
32,0.093248,0.041422,0.018958
33,0.10694,0.044808,0.013424
34,0.11816,0.051124,0.0074884
35,0.13108,0.05028,0.0041347
36,0.14282,0.054296,-0.003757
37,0.15528,0.051808,-0.0085713
38,0.16646,0.055795,-0.01497
39,0.17846,0.06173,-0.02152
40,0.18977,0.059772,-0.026567
41,0.20476,0.057777,-0.022551
42,0.21759,0.057464,-0.01639
43,0.23157,0.060601,-0.010584
44,0.24423,0.064294,-0.0056922
45,0.25803,0.065801,-0.0013813
46,0.27115,0.068288,0.0037731
47,0.28348,0.071403,0.0083891
48,0.29626,0.073727,0.011226
49,0.30859,0.076561,0.0155
50,0.31973,0.078758,0.018079
51,0.33328,0.07928,0.02278
52,0.34353,0.083424,0.023782
53,0.35634,0.088678,0.024916
54,0.3669,0.090846,0.027187
55,0.37794,0.09171,0.029591
56,0.38948,0.094174,0.030684
57,0.40238,0.10122,0.031045
58,0.4112,0.09967,0.032724
59,0.42283,0.099111,0.034044
60,0.43138,0.10538,0.032819
61,0.44277,0.10664,0.032419
62,0.44982,0.1067,0.033565
63,0.46112,0.10824,0.033592
64,0.47223,0.1153,0.031684
65,0.48118,0.11425,0.030891
66,0.49226,0.11572,0.030326
67,0.4986,0.11723,0.028187
68,0.50884,0.11842,0.026166
69,0.51478,0.11603,0.024834
70,0.52363,0.11743,0.023312
71,0.5325,0.121,0.020955
72,0.54123,0.12179,0.01826
73,0.54848,0.11953,0.016858
74,0.55568,0.12367,0.013662
75,0.56196,0.12185,0.010247
76,0.57294,0.1268,0.0070926
77,0.57894,0.1248,0.0036772
78,0.58487,0.12631,0.00026086
79,0.5909,0.12337,-0.0020928
80,0.59863,0.12506,-0.006254
81,0.60516,0.12554,-0.010315
82,0.61182,0.12513,-0.013871
83,0.61818,0.1261,-0.017837
84,0.62319,0.12594,-0.022915
85,0.62964,0.12696,-0.027502
86,0.63609,0.1271,-0.032436
87,0.63937,0.12462,-0.036282
88,0.64581,0.12563,-0.040937
89,0.65066,0.12295,-0.0458
90,0.65603,0.12617,-0.051266
91,0.65946,0.12558,-0.056453
92,0.66483,0.12462,-0.061881
93,0.6686,0.12528,-0.066951
94,0.6732,0.12254,-0.07183
95,0.6769,0.12181,-0.077436
96,0.6816,0.12297,-0.082695
97,0.68394,0.12356,-0.088767
98,0.68514,0.12519,-0.092063
99,NaN,NaN,NaN
100,NaN,NaN,NaN
101,NaN,NaN,NaN
102,NaN,NaN,NaN
103,NaN,NaN,NaN
104,NaN,NaN,NaN
105,NaN,NaN,NaN
106,NaN,NaN,NaN
107,NaN,NaN,NaN
108,NaN,NaN,NaN
109,NaN,NaN,NaN
110,NaN,NaN,NaN
111,NaN,NaN,NaN
112,NaN,NaN,NaN
113,NaN,NaN,NaN
114,NaN,NaN,NaN
115,NaN,NaN,NaN
116,NaN,NaN,NaN
117,NaN,NaN,NaN
118,NaN,NaN,NaN
119,NaN,NaN,NaN
120,NaN,NaN,NaN
121,NaN,NaN,NaN
122,NaN,NaN,NaN
123,NaN,NaN,NaN
124,NaN,NaN,NaN
125,NaN,NaN,NaN
126,NaN,NaN,NaN
127,NaN,NaN,NaN
128,NaN,NaN,NaN
129,NaN,NaN,NaN
130,NaN,NaN,NaN
131,NaN,NaN,NaN
132,NaN,NaN,NaN
133,NaN,NaN,NaN
134,NaN,NaN,NaN
135,NaN,NaN,NaN
136,NaN,NaN,NaN
137,NaN,NaN,NaN
138,NaN,NaN,NaN
139,NaN,NaN,NaN
140,NaN,NaN,NaN
141,NaN,NaN,NaN
142,NaN,NaN,NaN
143,NaN,NaN,NaN
144,NaN,NaN,NaN
145,NaN,NaN,NaN
146,NaN,NaN,NaN
147,NaN,NaN,NaN
148,NaN,NaN,NaN
149,NaN,NaN,NaN
150,NaN,NaN,NaN
151,NaN,NaN,NaN
152,NaN,NaN,NaN
153,NaN,NaN,NaN
154,NaN,NaN,NaN
155,NaN,NaN,NaN
156,NaN,NaN,NaN
157,NaN,NaN,NaN
158,NaN,NaN,NaN
159,NaN,NaN,NaN
160,NaN,NaN,NaN
161,NaN,NaN,NaN
162,NaN,NaN,NaN
163,NaN,NaN,NaN
164,NaN,NaN,NaN
165,NaN,NaN,NaN
166,NaN,NaN,NaN
167,NaN,NaN,NaN
168,NaN,NaN,NaN
169,NaN,NaN,NaN
170,NaN,NaN,NaN
171,NaN,NaN,NaN
172,NaN,NaN,NaN
173,NaN,NaN,NaN
174,NaN,NaN,NaN
175,NaN,NaN,NaN
176,NaN,NaN,NaN
177,NaN,NaN,NaN
178,NaN,NaN,NaN
179,NaN,NaN,NaN
180,NaN,NaN,NaN
181,NaN,NaN,NaN
182,NaN,NaN,NaN
183,NaN,NaN,NaN
184,NaN,NaN,NaN
185,NaN,NaN,NaN
186,NaN,NaN,NaN
187,NaN,NaN,NaN
188,NaN,NaN,NaN
189,NaN,NaN,NaN
190,NaN,NaN,NaN
191,NaN,NaN,NaN
192,NaN,NaN,NaN
193,NaN,NaN,NaN
194,NaN,NaN,NaN
195,NaN,NaN,NaN
196,NaN,NaN,NaN
197,NaN,NaN,NaN
198,NaN,NaN,NaN
199,NaN,NaN,NaN
200,NaN,NaN,NaN
201,NaN,NaN,NaN
202,NaN,NaN,NaN
203,NaN,NaN,NaN
204,NaN,NaN,NaN
205,NaN,NaN,NaN
206,NaN,NaN,NaN
207,NaN,NaN,NaN
208,NaN,NaN,NaN
209,NaN,NaN,NaN
210,NaN,NaN,NaN
211,NaN,NaN,NaN
212,NaN,NaN,NaN
213,NaN,NaN,NaN
214,NaN,NaN,NaN
215,NaN,NaN,NaN
216,NaN,NaN,NaN
217,NaN,NaN,NaN
218,NaN,NaN,NaN
219,NaN,NaN,NaN
220,NaN,NaN,NaN
221,NaN,NaN,NaN
222,NaN,NaN,NaN
223,NaN,NaN,NaN
224,NaN,NaN,NaN
225,NaN,NaN,NaN
226,NaN,NaN,NaN
227,NaN,NaN,NaN
228,NaN,NaN,NaN
229,NaN,NaN,NaN
230,NaN,NaN,NaN
231,NaN,NaN,NaN
232,NaN,NaN,NaN
233,NaN,NaN,NaN
234,NaN,NaN,NaN
235,NaN,NaN,NaN
236,NaN,NaN,NaN
237,NaN,NaN,NaN
238,NaN,NaN,NaN
239,NaN,NaN,NaN
240,NaN,NaN,NaN
241,NaN,NaN,NaN
242,NaN,NaN,NaN
243,NaN,NaN,NaN
244,NaN,NaN,NaN
245,NaN,NaN,NaN
246,NaN,NaN,NaN
247,NaN,NaN,NaN
248,NaN,NaN,NaN
249,NaN,NaN,NaN
250,NaN,NaN,NaN
251,NaN,NaN,NaN
252,NaN,NaN,NaN
253,NaN,NaN,NaN
254,NaN,NaN,NaN
255,NaN,NaN,NaN
256,NaN,NaN,NaN
257,NaN,NaN,NaN
258,NaN,NaN,NaN
259,NaN,NaN,NaN
260,NaN,NaN,NaN
261,NaN,NaN,NaN
262,NaN,NaN,NaN
263,NaN,NaN,NaN
264,NaN,NaN,NaN
265,NaN,NaN,NaN
266,NaN,NaN,NaN
